"id","name","aff_val","open_val","play_val","vigilant_val","train_val","energy_val","bored_val"
1,"Affenpincher",0.01,1.00,0.01,0.01,0.01,0.01,0.01
2,"Afghan Hound",0.01,0.01,0.01,0.01,-1.00,0.50,0.01
3,"Airedale Terrier",0.01,0.01,0.01,1.00,0.01,0.01,0.01
4,"Akita",0.01,-0.50,0.01,1.00,0.01,0.50,0.01
6,"Klee Kai",0.01,-1.00,0.01,0.01,0.01,0.01,0.01
7,"Alaskan Malamute",0.50,0.50,0.50,0.75,1.00,0.75,0.50
9,"American Eskimo Dog",1.00,1.00,0.01,0.01,0.50,0.50,0.01
10,"American Foxhound",0.01,0.01,0.01,0.01,0.01,0.50,0.01
11,"American Hairless Terrier",1.00,0.01,0.01,0.01,1.00,0.01,0.01
13,"American Staffordshire Terrier",1.00,0.50,0.01,0.50,0.01,0.01,0.01
14,"American Water Spaniel",0.01,0.01,0.01,0.01,1.00,0.01,0.01
15,"Anatolian Shepherd",-1.00,-1.00,0.01,0.01,-0.50,0.01,0.01
16,"Appenzell Mountain Dog",1.00,-1.00,0.01,1.00,1.00,1.00,1.00
17,"Australian Cattle Dog / Blue Heeler",0.01,0.01,0.01,0.50,0.50,1.00,0.50
18,"Australian Kelpie",0.01,0.50,0.50,0.50,0.50,1.00,0.50
19,"Australian Shepherd",0.01,0.01,0.01,0.01,1.00,1.00,1.00
21,"Australian Terrier",0.50,0.01,0.01,0.50,0.50,0.01,0.01
22,"Azawakh",0.01,-1.00,0.01,0.01,-0.50,0.01,-1.00
24,"Barbet",0.01,0.01,0.01,0.01,0.50,0.01,0.01
25,"Basenji",0.01,0.01,0.01,0.01,0.01,0.50,0.50
27,"Basset Hound",0.01,0.01,0.01,0.01,0.01,-0.50,0.01
28,"Bavarian Mountain Hound",0.01,0.01,0.01,0.01,0.50,0.50,0.50
29,"Beagle",0.01,0.01,0.50,-0.50,0.01,0.50,0.50
30,"Bearded Collie",0.50,0.50,0.50,0.01,0.01,0.50,0.01
31,"Beauceron",0.01,-0.50,0.01,0.50,0.01,1.00,0.50
32,"Bedlington Terrier",0.01,0.01,0.01,0.50,0.01,0.50,0.01
33,"Belgian Shepherd / Laekenois",0.01,0.01,0.01,0.50,1.00,0.50,0.50
34,"Belgian Shepherd / Malinois",0.01,0.01,0.01,0.50,1.00,0.50,0.50
35,"Belgian Shepherd / Sheepdog",0.01,0.01,0.01,0.50,1.00,0.50,0.50
36,"Belgian Shepherd / Tervuren",0.01,0.01,0.01,0.50,1.00,0.50,0.50
37,"Bergamasco",0.01,0.01,0.01,0.50,0.01,0.01,0.01
38,"Bernese Mountain Dog",1.00,0.50,0.50,0.01,0.50,0.50,0.01
39,"Bichon Frise",1.00,1.00,0.50,-0.50,0.50,0.50,0.01
41,"Black and Tan Coonhound",0.50,0.01,0.01,-0.50,0.01,0.01,0.01
42,"Black Russian Terrier",0.01,-0.50,0.01,1.00,0.50,0.50,0.50
43,"Bloodhound",0.75,0.01,0.01,-0.50,0.50,0.01,1.00
45,"Bluetick Coonhound",0.01,0.01,0.01,-0.50,0.50,0.50,0.01
46,"Boerboel",1.00,0.01,0.01,1.00,0.50,0.01,0.01
48,"Bolognese",0.01,1.00,-1.00,-1.00,1.00,-1.00,-1.00
49,"Border Collie",1.00,0.50,1.00,1.00,1.00,1.00,1.00
50,"Border Terrier",0.50,0.50,0.50,0.01,0.50,0.01,0.01
51,"Borzoi",0.01,0.01,0.01,0.01,0.01,0.50,0.50
52,"Boston Terrier",1.00,1.00,1.00,0.01,0.50,0.50,0.01
53,"Bouvier des Flandres",0.01,0.01,0.01,0.50,0.50,0.50,0.01
54,"Boxer",0.50,0.50,0.50,0.50,0.50,0.50,0.50
55,"Boykin Spaniel",0.01,0.01,0.50,0.01,0.50,0.50,0.01
56,"Bracco Italiano",0.01,0.01,0.01,0.01,1.00,0.50,0.01
57,"Braque du Bourbonnais",0.01,0.01,0.01,0.01,1.00,0.50,0.01
58,"Braque Francais Pyrenean",0.01,0.01,0.01,0.01,0.01,1.00,0.01
59,"Braque Saint-Germain",0.01,0.50,0.01,-0.50,0.50,0.01,-0.50
60,"Brazilian Terrier",1.00,-1.00,0.01,1.00,1.00,1.00,1.00
61,"Briard",0.01,0.01,0.01,0.50,0.01,0.01,0.01
62,"Brittany Spaniel",0.01,0.01,0.50,0.01,1.00,1.00,0.50
64,"Brussels Griffon",0.50,0.50,0.50,0.01,0.50,0.01,0.01
65,"Bull Terrier",0.50,0.50,0.50,0.01,0.01,0.50,0.50
66,"Bulldog",0.50,0.50,0.50,0.01,0.50,0.01,0.01
67,"Bullmastiff",0.50,0.01,0.01,1.00,0.50,0.50,0.50
68,"Cairn Terrier",0.50,0.01,0.50,0.50,0.01,0.01,0.01
70,"Canaan Dog",0.01,0.01,0.01,0.50,0.50,0.01,0.01
71,"Cane Corso",0.50,0.01,0.01,1.00,0.50,0.50,0.01
72,"Cardigan Welsh Corgi",0.50,0.50,0.50,0.01,0.50,0.50,0.50
73,"Carolina Dog",0.01,0.01,0.01,0.01,0.01,0.01,0.01
74,"Caucasian Shepherd / Caucasian Ovtcharka",0.01,-0.50,-0.50,1.00,0.01,0.01,0.01
75,"Cavalier King Charles Spaniel",1.00,0.50,0.01,0.01,0.50,0.01,0.01
77,"Cesky Terrier",0.50,0.50,0.01,0.01,0.01,0.01,0.01
78,"Chesapeake Bay Retriever",0.50,0.01,0.01,0.50,1.00,0.50,0.50
79,"Chihuahua",0.50,-0.50,0.50,0.50,0.01,0.50,0.01
80,"Chinese Crested",0.50,0.50,0.01,0.01,0.50,0.01,0.01
81,"Chinese Shar-Pei",0.50,0.01,0.01,0.50,0.01,0.01,0.01
82,"Chinook",0.50,0.01,0.01,0.50,0.50,0.01,0.01
83,"Chow Chow",0.50,-0.50,0.01,1.00,0.01,0.01,0.01
84,"Clumber Spaniel",0.50,0.50,0.01,0.01,0.50,0.01,0.01
85,"Cocker Spaniel",0.50,0.50,0.01,0.01,0.50,0.50,0.01
