"id","name","aff_val","open_val","play_val","train_val","energy_val","ind_val"
1,"Abyssinian",0.01,0.5,0.4,0.2,0.8,0.2
2,"Aegean",0.6,0.6,0.6,0.6,0.6,-0.2
3,"American Bobtail",0.8,1,0.4,0.2,0.2,0.8
4,"American Curl",1,1,0.2,0.4,0.2,0.01
5,"American Longhair",0.6,1,0.2,0.4,0.01,-0.2
6,"American Polydactyl",1,1,0.01,0.6,0.01,0.01
7,"American Shorthair",0.6,0.8,0.2,0.6,0.2,0.01
8,"American Wirehair",0.8,0.8,0.6,0.8,0.2,0.01
9,"Asain Semi-Longhair",1,1,0.6,0.6,0.01,-0.6
10,"Australian Mist",0.6,0.6,0.6,0.6,0.01,0.01
11,"Balinese",1,1,0.6,0.8,0.2,-0.6
12,"Bengal",1,0.6,0.8,1,0.8,0.01
13,"Birman",1,0.8,0.6,0.6,0.4,-0.4
14,"Bombay",0.8,0.8,0.8,0.8,0.4,-0.4
15,"Brazilian Shorthair",0.8,0.6,0.4,0.8,0.6,-0.2
16,"British Longhair",0.8,0.8,0.4,0.8,0.2,-0.4
17,"British Shorthair",0.8,0.8,0.4,0.8,0.2,-0.4
18,"Burmese",1,1,0.6,1,0.6,-0.6
19,"Burmilla",1,0.8,0.6,0.8,0.4,0.01
20,"California Spangled",0.6,0.6,0.6,0.6,0.6,0.6
21,"Chantilly",1,0.8,0.6,0.6,0.01,-0.4
22,"Chartreux",0.6,0.6,0.4,0.6,0.01,0.01
23,"Chausie",0.8,0.4,1,1,1,0.6
24,"Colorpoint Shorthair",1,0.8,1,1,0.8,-0.8
25,"Cornish Rex",1,1,1,1,1,-0.8
26,"Cymric",0.8,0.8,0.8,1,0.6,0.01
27,"Devon Rex",1,0.8,0.6,1,1,-0.8
28,"Donskoy",1,0.8,1,0.6,1,-0.6
29,"Dragon Li",0.4,0.2,0.6,1,0.4,0.4
30,"Egyptian Mau",0.8,0.01,0.8,1,0.6,-0.4
31,"European Shorthair",0.4,0.4,0.6,0.8,0.4,0.4
32,"Exotic Shorthair",1,0.8,0.6,0.4,0.4,-0.2
33,"German Rex",1,0.8,0.8,0.8,0.8,-0.4
34,"Havana Brown",1,1,0.6,0.4,1,-0.8
35,"Himalayan Cat",1,1,0.4,0.8,0.01,-0.4
36,"Japanese Bobtail",1,1,0.8,1,0.8,-0.2
37,"Javanese",1,1,1,0.8,1,-0.8
38,"Korat",1,0.6,0.6,1,0.6,-0.2
39,"Kurilian Bobtail",1,1,0.8,1,1,0.01
40,"Maine Coon",1,1,0.2,0.6,0.01,-0.4
41,"Manx",0.8,0.4,1,1,1,0.4
42,"Minuet",1,1,0.4,0.2,-0.2,0.01
43,"Munchkin",1,1,1,1,0.8,-0.6
44,"Nebelung",0.6,0.6,0.6,0.6,0.6,-0.2
45,"Norwegian Forest",0.6,0.6,0.6,0.6,0.6,0.2
46,"Ocicat",0.6,0.6,1,0.6,1,-0.2
47,"Ojos Azules",1,0.4,0.6,0.6,0.4,0.4
48,"Oregon Rex",0.6,0.6,0.4,0.2,-0.2,0.2
49,"Oriental Bicolor",0.6,0.6,0.6,0.6,0.6,0.6
50,"Oriental Longhair",1,1,1,1,1,1
51,"Oriental Shorthair",1,1,1,1,1,1
52,"Persian",0.6,0.6,0.4,-0.2,-0.6,-0.6
53,"Peterbald",1,0.4,0.6,0.4,0.6,0.4
54,"Pixie-Bob",1,0.6,0.6,1,0.6,0.6
55,"Ragamuffin",0.6,-0.2,0.2,0.6,-0.2,-0.2
56,"Ragdoll",0.6,-0.2,0.6,0.6,-0.2,-0.2
57,"Russian Blue",0.2,0.2,0.2,0.6,0.2,0.6
58,"Savannah",1,1,1,1,1,1
59,"Scottish Fold",0.6,0.4,0.6,-0.2,0.6,0.6
60,"Selkirk",0.6,0.6,0.2,0.2,-0.2,0.2
61,"Serengeti",0.6,0.2,0.6,0.6,0.6,0.2
62,"Siamese",0.6,1,1,1,0.6,-0.6
63,"Siberian",0.6,0.2,0.6,0.6,0.2,0.2
64,"Singapura",0.6,1,1,0.6,0.6,0.2
65,"Snowshoe",1,0.6,1,0.6,0.6,0.6
66,"Sokoke",0.6,0.6,0.6,0.6,0.6,0.4
67,"Somali",0.6,0.6,1,0.6,1,0.2
68,"Sphynx",1,1,1,1,0.6,-0.6
69,"Thai",0.6,0.4,1,1,1,0.2
70,"Tonkinese",0.6,0.6,0.6,1,0.6,-0.2
71,"Toyger",1,0.2,1,1,1,0.2
72,"Turkish Angora",0.6,0.6,0.6,0.6,0.6,-0.2
73,"Turkish Van",0.6,0.6,0.6,0.6,1,0.4
74,"Turkish Vankedisi",1,0.6,1,1,1,0.6
75,"Ukrainian Levkoy",1,1,0.6,0.6,1,0.6
76,"Ussuri ",1,0.6,0.6,0.6,0.6,0.6
77,"York Chocolate",1,1,0.6,1,1,0.2
